line,selector,risk,props,comment
10220,"#pagePresets .quick-routes-card, #pagePresets .active-trains-card, #pagePresets .preset-card, #pagePresets .data-management-card, #pageEdit .page-intro-card, #pageEdit .summary-card, #pageEdit .route-editor-card, #pageSettings .page-intro-card, #pageSettings .settings-overview-card, #pageSettings .guide-card, #pageSettings .about-card",size-vh/%,width: 100% max-width: 100% overflow-wrap: anywhere,要確認。線路外なら見えづらさの原因候補。
10609,#pageEdit .route-editor-actions,position,"grid-template-columns: minmax(0, .86fr) minmax(0, 1.14fr) position: sticky bottom: 18px z-index: 2",操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
10688,body.page-timer-active .main-content,size-vh/% / !important,"height: auto !important min-height: calc(100dvh - var(--tablet-portrait-header-height, 68px)) !important overflow-y: auto !important padding-bottom: calc(var(--tablet-portrait-nav-height, 76px) + 48px + env(safe-area-inset-bottom, 0px)) !important",要確認。線路外なら見えづらさの原因候補。
10694,#pageTimer.app-page.is-active,!important,height: auto !important min-height: 0 !important grid-template-rows: auto auto !important align-content: start !important gap: 18px !important,要確認。線路外なら見えづらさの原因候補。
10708,#pageTimer .timer-actions-card,!important,margin-top: 0 !important margin-bottom: 0 !important,操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
10716,#pageTimer .timer-actions-card,!important,"margin-bottom: calc(var(--tablet-portrait-nav-height, 76px) + 20px + env(safe-area-inset-bottom, 0px)) !important",操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
10724,"#pageTimer .railway-stage.railway-preview--horizontal, #pageTimer .railway-preview--horizontal, #pageTimer .railway-stage.railway-preview--circle, #pageTimer .railway-preview--circle",size-vh/% / !important,"height: clamp(360px, 38dvh, 420px) !important min-height: clamp(360px, 38dvh, 420px) !important max-height: clamp(360px, 38dvh, 420px) !important",要確認。線路外なら見えづらさの原因候補。
10732,#pageTimer .railway-track--horizontal,!important,min-height: 305px !important,線路内表示だが、残り時間や通知は重なり確認が必要。
10736,"#pageTimer .railway-stage.railway-preview--vertical, #pageTimer .railway-preview--vertical",size-vh/% / !important,"height: clamp(410px, 42dvh, 470px) !important min-height: clamp(410px, 42dvh, 470px) !important max-height: clamp(410px, 42dvh, 470px) !important",要確認。線路外なら見えづらさの原因候補。
10743,#pageTimer .railway-track--vertical,!important,min-height: 380px !important,線路内表示だが、残り時間や通知は重なり確認が必要。
